Minutes,Type I,Type Ia,Type II,Type III,,
7:47,0.0388,0.2407,0.0215,0.0247,,
7:48,0.0392,0.2379,0.0217,0.0253,,
7:49,0.0392,0.2379,0.0217,0.0253,,
7:50,0.0392,0.2379,0.0217,0.0253,,
7:51,0.0392,0.2379,0.0217,0.0253,,
7:52,0.0392,0.2379,0.0217,0.0253,,
7:53,0.0392,0.2379,0.0217,0.0253,,
7:54,0.0394,0.2245,0.0219,0.0257,,
7:55,0.0394,0.2245,0.0219,0.0257,,
7:56,0.0394,0.2245,0.0219,0.0257,,
7:57,0.0394,0.2245,0.0219,0.0257,,
7:58,0.0394,0.2245,0.0219,0.0257,,
7:59,0.0394,0.2245,0.0219,0.0257,,
8:00,0.0417,0.1436,0.0225,0.0266,,
8:01,0.0417,0.1436,0.0225,0.0266,,
8:02,0.0417,0.1436,0.0225,0.0266,,
8:03,0.0417,0.1436,0.0225,0.0266,,
8:04,0.0417,0.1436,0.0225,0.0266,,
8:05,0.0417,0.1436,0.0225,0.0266,,
8:06,0.0458,0.1232,0.0235,0.0277,,
8:07,0.0458,0.1232,0.0235,0.0277,,
8:08,0.0458,0.1232,0.0235,0.0277,,
8:09,0.0458,0.1232,0.0235,0.0277,,
8:10,0.0458,0.1232,0.0235,0.0277,,
8:11,0.0458,0.1232,0.0235,0.0277,,
8:12,0.05,0.1064,0.0245,0.0289,,
8:13,0.05,0.1064,0.0245,0.0289,,
8:14,0.05,0.1064,0.0245,0.0289,,
8:15,0.05,0.1064,0.0245,0.0289,,
8:16,0.05,0.1064,0.0245,0.0289,,
8:17,0.05,0.1064,0.0245,0.0289,,
8:18,0.0542,0.0932,0.0255,0.03,,
8:19,0.0542,0.0932,0.0255,0.03,,
8:20,0.0542,0.0932,0.0255,0.03,,
8:21,0.0542,0.0932,0.0255,0.03,,
8:22,0.0542,0.0932,0.0255,0.03,,
8:23,0.0542,0.0932,0.0255,0.03,,
8:24,0.0583,0.0836,0.0265,0.0312,,
8:25,0.0583,0.0836,0.0265,0.0312,,
8:26,0.0583,0.0836,0.0265,0.0312,,
8:27,0.0583,0.0836,0.0265,0.0312,,
8:28,0.0583,0.0836,0.0265,0.0312,,
8:29,0.0583,0.0836,0.0265,0.0312,,
8:30,0.0623,0.0904,0.0275,0.0323,,
8:31,0.0623,0.0904,0.0275,0.0323,,
8:32,0.0623,0.0904,0.0275,0.0323,,
8:33,0.0623,0.0904,0.0275,0.0323,,
8:34,0.0623,0.0904,0.0275,0.0323,,
8:35,0.0623,0.0904,0.0275,0.0323,,
8:36,0.0662,0.0848,0.0285,0.0335,,
8:37,0.0662,0.0848,0.0285,0.0335,,
8:38,0.0662,0.0848,0.0285,0.0335,,
8:39,0.0662,0.0848,0.0285,0.0335,,
8:40,0.0662,0.0848,0.0285,0.0335,,
8:41,0.0662,0.0848,0.0285,0.0335,,
8:42,0.07,0.0796,0.0295,0.0346,,
8:43,0.07,0.0796,0.0295,0.0346,,
8:44,0.07,0.0796,0.0295,0.0346,,
8:45,0.07,0.0796,0.0295,0.0346,,
8:46,0.07,0.0796,0.0295,0.0346,,
8:47,0.07,0.0796,0.0295,0.0346,,
8:48,0.0738,0.0748,0.0305,0.0358,,
8:49,0.0738,0.0748,0.0305,0.0358,,
8:50,0.0738,0.0748,0.0305,0.0358,,
8:51,0.0738,0.0748,0.0305,0.0358,,
8:52,0.0738,0.0748,0.0305,0.0358,,
8:53,0.0738,0.0748,0.0305,0.0358,,
8:54,0.0777,0.0704,0.0315,0.0369,,
8:55,0.0777,0.0704,0.0315,0.0369,,
8:56,0.0777,0.0704,0.0315,0.0369,,
8:57,0.0777,0.0704,0.0315,0.0369,,
8:58,0.0777,0.0704,0.0315,0.0369,,
8:59,0.0777,0.0704,0.0315,0.0369,,
9:00,0.0833,0.0664,0.032,0.0381,,
9:01,0.0833,0.0664,0.032,0.0381,,
